"xTime","mon","M","px1","px2","px3","px4","px5","px6","p1","p2","p3","p4","p5","p6","TDmy1","TDmy2","TDmy3","BSEDmy","BflDmy","GyzDmy","McDDmy","tBSE","tBfl","tGyz","tMcD","weight","members","workers","age"
1987,1987.01,6828,2452,1933,1020,144,285,993,58.2,66,78.1,92.1,67,92.1,0,0,0,0,0,0,0,0,0,0,0,7941,3.71,1.57,47.8
1987.08333333333,1987.02,7280,2537,2038,1061,166,277,1201,58.2,65.9,77.7,92,66.8,92,0,0,0,0,0,0,0,0,0,0,0,7970,3.7,1.57,47.9
1987.16666666667,1987.03,7835,2746,2140,1104,171,268,1406,58.1,65.9,77.2,91.9,66.7,91.9,0,0,0,0,0,0,0,0,0,0,0,7990,3.7,1.59,48
1987.25,1987.04,7583,2573,2074,1073,172,256,1434,58.1,65.7,76.2,91.5,66.4,91.5,0,0,0,0,0,0,0,0,0,0,0,8003,3.68,1.6,48
1987.33333333333,1987.05,7784,2650,2112,1071,176,258,1518,58.2,65.8,75.9,91.4,66.4,91.4,0,0,0,0,0,0,0,0,0,0,0,8010,3.68,1.62,48.1
1987.41666666667,1987.06,7459,2464,2026,1005,173,257,1533,58.2,65.9,75.7,91.5,66.1,91.5,0,0,0,0,0,0,0,0,0,0,0,8010,3.67,1.63,48
1987.5,1987.07,7685,2573,2018,966,167,252,1710,58.2,66.1,75.1,91.5,66,91.5,0,0,0,0,0,0,0,0,0,0,0,8000,3.66,1.64,48.2
1987.58333333333,1987.08,7767,2803,2055,946,156,251,1557,58.3,65.9,74.7,91.3,66,91.3,0,0,0,0,0,0,0,0,0,0,0,7976,3.66,1.63,48.2
1987.66666666667,1987.09,7700,2618,2099,1077,182,257,1467,58.2,66,74.9,91.5,65.9,91.5,0,0,0,0,0,0,0,0,0,0,0,8000,3.65,1.64,48
1987.75,1987.1,7967,2807,2154,1141,166,258,1441,58.4,65.9,74.9,91.4,65.9,91.4,0,0,0,0,0,0,0,0,0,0,0,7996,3.66,1.63,47.9
1987.83333333333,1987.11,7722,2750,2107,1110,158,262,1335,58.5,65.7,74.7,91.5,65.7,91.5,0,0,0,0,0,0,0,0,0,0,0,7993,3.63,1.62,48.1
1987.91666666667,1987.12,11348,4205,2245,1464,144,325,2964,58.9,65.5,74.6,91.4,65.7,91.4,0,0,0,0,0,0,0,0,0,0,0,8021,3.63,1.6,48.3
1988,1988.01,6811,2659,1813,929,155,242,1013,58.9,65.3,74.5,91.5,65.7,91.5,0,0,0,0,0,0,0,0,0,0,0,7946,3.65,1.59,48
1988.08333333333,1988.02,7417,2743,1982,1028,172,275,1216,58.9,65.3,74.5,91.4,65.7,91.4,0,0,0,0,0,0,0,0,0,0,0,7990,3.64,1.59,48
1988.16666666667,1988.03,7716,2962,1996,1035,177,247,1299,58.8,65.1,74,91.3,65.5,91.3,0,0,0,0,0,0,0,0,0,0,0,7987,3.62,1.59,48.3
1988.25,1988.04,7481,2747,1937,1017,170,219,1390,58.8,65.1,73.8,91.1,65.5,91.1,0,0,0,0,0,0,0,0,0,0,0,7986,3.62,1.61,48.4
1988.33333333333,1988.05,7636,2764,2003,999,180,223,1467,58.9,65.2,73.5,91,65.5,91,0,0,0,0,0,0,0,0,0,0,0,8001,3.63,1.62,48.3
1988.41666666667,1988.06,7398,2644,1944,969,174,209,1459,58.8,65.3,73.5,91,65.5,91,0,0,0,0,0,0,0,0,0,0,0,7993,3.61,1.63,48.4
1988.5,1988.07,7694,2726,1983,922,171,221,1671,58.8,65.7,73.5,91,65.5,91,0,0,0,0,0,0,0,0,0,0,0,7992,3.62,1.62,48.4
1988.58333333333,1988.08,7518,2766,1940,894,163,233,1521,58.7,65.7,73.4,90.9,65.5,90.9,0,0,0,0,0,0,0,0,0,0,0,7979,3.63,1.62,48.5
1988.66666666667,1988.09,7380,2575,2000,1002,177,223,1402,58.9,65.7,73.2,90.9,65.6,90.9,0,0,0,0,0,0,0,0,0,0,0,7987,3.64,1.62,48.4
1988.75,1988.1,7679,2706,2119,1076,165,232,1382,58.9,65.6,73.4,90.9,65.5,90.9,0,0,0,0,0,0,0,0,0,0,0,7971,3.65,1.62,48.3
1988.83333333333,1988.11,7448,2660,2038,1027,167,249,1308,58.9,65.2,73.1,91,65.3,91,0,0,0,0,0,0,0,0,0,0,0,7974,3.65,1.62,48.1
1988.91666666667,1988.12,10884,4034,2130,1331,155,305,2929,58.9,65.1,73.1,91,65.3,91,0,0,0,0,0,0,0,0,0,0,0,7988,3.64,1.62,48.2
1989,1989.01,6501,2479,1761,868,151,226,1015,59.1,64.9,73.1,90.9,65.3,90.9,0,0,0,0,0,0,0,0,0,0,0,7926,3.63,1.61,48
1989.08333333333,1989.02,6863,2523,1891,908,165,235,1141,59,64.9,72.6,90.9,65.2,90.9,0,0,0,0,0,0,0,0,0,0,0,7961,3.63,1.61,48.1
1989.16666666667,1989.03,7567,2796,2020,988,177,232,1353,59.3,64.9,72.7,90.8,65.3,90.8,0,0,0,0,0,0,0,0,0,0,0,7986,3.62,1.6,48.1
1989.25,1989.04,7373,2634,1931,984,172,215,1438,61,66.1,73.6,92.7,66.6,92.7,1,0,0,0,0,0,0,0,0,0,0,7974,3.6,1.6,48.2
1989.33333333333,1989.05,7750,2760,2013,1032,182,235,1528,61.1,66.2,73.5,92.9,66.7,92.9,1,0,0,0,0,0,0,0,0,0,0,7978,3.6,1.61,48.5
1989.41666666667,1989.06,7529,2636,2017,979,183,216,1497,61.1,66.4,73.5,92.8,66.7,92.8,1,0,0,0,0,0,0,0,0,0,0,7979,3.61,1.62,48.5
1989.5,1989.07,7736,2756,1972,915,164,220,1709,61,66.8,73.5,92.8,66.9,92.8,1,0,0,0,0,0,0,0,0,0,0,7988,3.62,1.62,48.6
1989.58333333333,1989.08,7739,2943,1959,913,156,238,1529,61,66.8,73.3,92.8,66.8,92.8,1,0,0,0,0,0,0,0,0,0,0,7973,3.61,1.6,48.6
1989.66666666667,1989.09,7796,2775,2065,1035,174,240,1508,61.1,66.8,73.1,92.6,66.8,92.6,1,0,0,0,0,0,0,0,0,0,0,7991,3.62,1.6,48.7
1989.75,1989.1,7908,2889,2131,1060,165,261,1402,61.2,66.8,73.3,92.6,66.8,92.6,1,0,0,0,0,0,0,0,0,0,0,7999,3.6,1.59,48.9
1989.83333333333,1989.11,7806,2898,2082,1028,164,255,1379,61.3,66.8,73.5,92.7,66.8,92.7,1,0,0,0,0,0,0,0,0,0,0,7978,3.6,1.59,48.9
1989.91666666667,1989.12,11586,4354,2206,1343,163,347,3173,61.5,66.7,73.4,92.5,66.8,92.5,1,0,0,0,0,0,0,0,0,0,0,7982,3.6,1.59,49
1990,1990.01,6693,2554,1830,929,147,240,993,61.7,66.7,73.8,92.5,66.9,92.5,1,0,0,0,0,0,0,0,0,0,0,7929,3.59,1.58,49
1990.08333333333,1990.02,6995,2582,1917,931,171,256,1138,61.7,66.6,73.7,92.4,67.1,92.4,1,0,0,0,0,0,0,0,0,0,0,7964,3.59,1.58,49.1
1990.16666666667,1990.03,7680,2908,2038,994,184,246,1311,61.7,66.7,73.8,92.6,67.1,92.6,1,0,0,0,0,0,0,0,0,0,0,7980,3.6,1.58,49.1
1990.25,1990.04,7666,2852,1996,998,178,230,1413,61.8,66.8,74,92.5,67.3,92.5,1,0,0,0,0,0,0,0,0,0,0,7965,3.57,1.61,49.4
1990.33333333333,1990.05,7838,2860,2060,1023,190,234,1470,62,67,74.5,92.6,67.7,92.6,1,0,0,0,0,0,0,0,0,0,0,7975,3.56,1.6,49.6
1990.41666666667,1990.06,7628,2753,1968,968,189,217,1533,62,67.7,74.3,96,67.8,96,1,0,0,0,0,0,0,0,0,0,0,7980,3.55,1.61,49.4
1990.5,1990.07,7959,2856,2005,923,171,235,1769,62.5,68.4,74.3,97,68.2,97,1,0,0,0,0,0,0,0,0,0,0,7982,3.56,1.61,49.4
1990.58333333333,1990.08,8039,3126,2008,890,168,223,1624,62.5,68.9,74.1,97.6,68.5,97.6,1,0,0,0,0,0,0,0,0,0,0,7982,3.54,1.61,49.5
1990.66666666667,1990.09,7944,2837,2096,1027,183,239,1563,62.6,69.5,74.7,98.1,68.8,98.1,1,0,0,0,0,0,0,0,0,0,0,7994,3.53,1.61,49.6
1990.75,1990.1,8110,2930,2138,1096,176,236,1535,62.7,69.3,75.2,98.3,68.8,98.3,1,0,0,0,0,0,0,0,0,0,0,7987,3.55,1.6,49.6
1990.83333333333,1990.11,7868,2850,2081,1050,164,239,1483,62.8,68.9,75.2,98.4,68.9,98.4,1,0,0,0,0,0,0,0,0,0,0,7985,3.56,1.62,49.6
1990.91666666667,1990.12,11700,4461,2285,1393,158,315,3089,63.2,68.5,75.4,98.8,68.9,98.8,1,0,0,0,0,0,0,0,0,0,0,7994,3.56,1.62,49.7
1991,1991.01,7041,2700,1861,959,159,239,1124,63.7,68.6,75.4,99,69,99,1,0,0,0,0,0,0,0,0,0,0,7934,3.57,1.62,49.8
1991.08333333333,1991.02,7295,2726,1931,1006,161,249,1221,63.9,68.5,75.4,99.2,69.2,99.2,1,0,0,0,0,0,0,0,0,0,0,7961,3.58,1.61,49.7
1991.16666666667,1991.03,8028,3125,2040,1031,183,231,1417,63.9,68.4,75.4,99.1,69.2,99.1,1,0,0,0,0,0,0,0,0,0,0,7988,3.58,1.61,49.7
1991.25,1991.04,7867,2919,1972,1024,184,223,1545,64,68.4,75.2,99.2,69.2,99.2,1,0,0,0,0,0,0,0,0,0,0,7995,3.57,1.64,49.8
1991.33333333333,1991.05,8071,2985,2010,1039,196,219,1621,64,68.8,75.8,99.3,69.5,99.3,1,0,0,0,0,0,0,0,0,0,0,7984,3.57,1.64,49.6
1991.41666666667,1991.06,7902,2927,1990,982,180,213,1610,64,69.6,75.6,99.2,69.8,99.2,1,0,0,0,0,0,0,0,0,0,0,7990,3.57,1.64,49.7
1991.5,1991.07,8006,2949,1951,922,172,229,1783,64.1,70.5,75.6,99.2,70.1,99.2,1,0,0,0,0,0,0,0,0,0,0,7979,3.57,1.65,49.5
1991.58333333333,1991.08,8258,3216,1988,938,182,256,1679,64,70.8,75.6,99.1,70.3,99.1,1,0,0,0,0,0,0,0,0,0,0,7956,3.57,1.65,49.7
1991.66666666667,1991.09,7994,2920,2038,1010,187,248,1593,64.3,70.8,75.7,99.1,70.4,99.1,1,0,0,0,0,0,0,0,0,0,0,7970,3.56,1.66,49.6
1991.75,1991.1,8199,2949,2116,1118,183,263,1570,64.5,70.4,75.8,99.1,70.4,99.1,1,0,0,0,0,0,0,0,0,0,0,7995,3.55,1.64,49.7
1991.83333333333,1991.11,7924,2866,2053,1076,168,276,1485,64.8,70.2,75.9,99.1,70.5,99.1,1,0,0,0,0,0,0,0,0,0,0,7975,3.55,1.64,49.8
1991.91666666667,1991.12,11923,4498,2187,1425,162,339,3312,64.8,70.2,75.8,99,70.5,99,1,0,0,0,0,0,0,0,0,0,0,7988,3.55,1.62,49.7
1992,1992.01,6997,2662,1835,986,162,244,1107,65.1,70.3,76.4,99.1,70.7,99.1,1,0,0,0,0,0,0,0,0,0,0,7912,3.54,1.61,49.7
1992.08333333333,1992.02,7698,2877,2005,1044,176,287,1309,65,70.4,76.3,99.1,70.7,99.1,1,0,0,0,0,0,0,0,0,0,0,7954,3.56,1.61,49.8
1992.16666666667,1992.03,7925,2984,2007,1037,184,276,1437,65.2,70.5,76.1,99,70.9,99,1,0,0,0,0,0,0,0,0,0,0,7952,3.55,1.61,49.9
1992.25,1992.04,7689,2749,1941,1046,189,224,1539,65.3,70.6,76.4,99.1,71.1,99.1,1,0,0,0,0,0,0,0,0,0,0,7975,3.54,1.63,49.7
