会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
ホクト,1379,A,-,安定的,NonSP,1922,100,33359040,64116074880,6262,6907,299,0,46096,80,1338,10471,3995,21901,50545,54140,100237,54140,0,54140,General
ミライト・ワン,1417,A,,ポジティブ,NonSP,2151,100,108325329,2.33008E+11,36242,6298,117,0,127428,48,9066,41602,8383,60790,218710,231323,358751,231323,0,226389,General
日鉄鉱業,1515,A,-,安定的,NonSP,6000,100,8352319,50113914000,6603,5302,912,0,72323,272,2803,9414,6775,27054,105208,116411,188735,116411,0,111075,General
高松コンストラクショングループ,1762,A,-,安定的,NonSP,2018,100,38880000,78459840000,12028,1266,0,0,105075,201,5955,4116,3450,38305,110139,115756,220831,115756,0,115716,General
大成建設,1801,AA,-,安定的,NonSP,3675,100,224541172,8.25189E+11,135416,10459,323,0,1026201,970,52650,67494,0,218798,753915,844420,1870622,844420,0,840845,General
大林組,1802,AA,-,安定的,NonSP,891,100,721509646,6.42865E+11,134573,20038,1188,0,1310648,1866,47753,24803,0,225784,850498,961979,2272628,961979,0,931009,General
清水建設,1803,AA,-,安定的,NonSP,803,100,788514613,6.33177E+11,110843,16710,0,0,1087227,3033,44966,80674,122892,190417,736412,821446,1908674,821446,0,815289,General
長谷工コーポレーション,1808,A,+,安定的,NonSP,1476,100,300794397,4.43973E+11,70866,5266,156,0,559294,1353,10622,31876,0,136231,387682,394365,953659,394365,0,394360,General
西松建設,1820,A,,安定的,NonSP,3550,100,55591502,1.9735E+11,23998,3350,280,0,264903,443,6778,4907,0,39761,199287,207537,472440,207537,0,205983,General
三井住友建設,1821,A,-,安定的,NonSP,482,100,162673321,78408540722,13500,2701,0,0,266518,1082,5813,16723,2703,38935,102443,110308,376826,110308,0,102406,General
大豊建設,1822,BBB,+,ネガティブ,J2,4245,100,18433163,78248776935,9513,1038,0,0,96769,67,2392,4357,7270,15097,64988,74130,170899,74130,307,73172,General
矢作建設工業,1870,BBB,+,安定的,NonSP,703,100,44607457,31359042271,5630,826,1817,0,75197,111,2252,6757,0,15699,52046,54639,129837,54639,0,54639,General
新日本建設,1879,A,-,安定的,NonSP,857,100,61360720,52586137040,13927,290,0,0,44651,5,3716,7005,28,18297,73274,81901,126552,81901,0,81901,General
五洋建設,1893,A,,安定的,J1,739,100,286013910,2.11364E+11,30165,7394,0,0,293844,667,9817,30690,11041,50038,141299,158403,452248,158403,0,158287,General
大和ハウス工業,1925,AA,,安定的,NonSP,3345,100,666238205,2.22857E+12,311210,78403,21065,0,3159548,10013,111165,430314,0,826883,1773388,1893504,5053052,1893504,91,1835197,General
積水ハウス,1928,AA,,安定的,J1,2161,100,684683466,1.4796E+12,185494,21726,356,0,1256974,2769,58499,191972,87490,473511,1306850,1368887,2625861,1368887,508,1326537,General
エクシオグループ,1951,A,+,安定的,NonSP,2713,100,117812419,3.19625E+11,38665,6789,406,0,202689,148,16953,6301,8841,75865,270109,288884,491574,288884,262,285654,General
日揮ホールディングス,1963,A,+,安定的,J1,978,100,259214827,2.53512E+11,22444,6432,2911,0,284912,180,15455,12467,8719,43782,390979,417616,702529,417616,0,417121,General
高砂熱学工業,1969,A,,安定的,NonSP,2004,100,70239402,1.4076E+11,14616,1537,0,0,135297,270,4776,22568,0,36845,125861,135849,271146,135849,0,132136,General
ニップン,2001,A,,安定的,J1,1573,100,78824009,1.2399E+11,13009,8981,576,0,138891,185,4162,14804,0,95681,158581,169126,308017,169126,234,164268,General
日清製粉グループ本社,2002,AA,,安定的,NonSP,1766,100,304357891,5.37496E+11,29762,22271,977,0,242640,2782,11336,49506,0,189084,409042,444774,687415,444774,116,433089,General
昭和産業,2004,A,-,安定的,J1,2993,100,33985420,1.01718E+11,11422,8816,21,0,110229,190,2508,13769,10506,46638,88721,103080,213309,103080,0,99615,General
中部飼料,2053,A,-,安定的,NonSP,1142,100,30371908,34684718936,5513,3213,0,0,27660,29,2288,5281,0,13579,56210,60272,87932,60272,0,59612,General
DM三井製糖ホールディングス,2109,A,,安定的,J1,1864,100,32639780,60840549920,5251,5440,0,0,55030,99,3452,11124,5680,24331,92395,91680,146710,91680,0,85214,General
パーソルホールディングス,2181,A,,ポジティブ,NonSP,2195,100,236704861,5.19567E+11,28579,10785,167,0,208258,346,11748,37574,3666,201413,163906,175158,383416,175158,0,157123,General
森永製菓,2201,A,,安定的,NonSP,3470,100,54189769,1.88038E+11,18944,7909,32,0,77992,32,7599,12127,19853,105646,105487,123923,201915,123923,0,123007,General
明治ホールディングス,2269,AA,-,安定的,J1,6780,100,152683400,1.03519E+12,103183,48411,2762,0,407642,622,24492,123683,63029,449625,597573,659358,1067000,659358,0,621428,General
日本ハム,2282,A,+,安定的,J1,4415,100,102958904,4.54564E+11,48874,34109,7069,0,381096,1376,10343,82518,0,211734,416597,444309,825405,444309,0,433595,General
丸大食品,2288,BBB,+,ネガティブ,J2,1730,100,26505581,45854655130,734,7798,299,0,55866,233,597,7673,0,49464,75056,77680,133546,77680,0,77068,General
宝ホールディングス,2531,A,,ポジティブ,J1,1271,100,199699743,2.53818E+11,20583,8068,432,0,115383,344,4767,27100,0,115594,181329,191535,306918,191535,0,156885,General
サントリー食品インターナショナル,2587,AA,-,安定的,J1,3835,100,309000000,1.18502E+12,94168,70652,1962,0,714694,2137,28232,134019,0,483855,837565,859556,1574251,859556,0,781755,General
ダイドーグループホールディングス,2590,A,-,安定的,NonSP,5310,100,16568500,87978735000,5252,6383,0,0,74984,200,832,12540,0,83518,89210,82609,157594,82609,0,81604,General
伊藤園,2593,A,+,安定的,J1,6450,100,123459342,7.96313E+11,13395,12427,4056,0,180007,436,5949,25351,0,215003,149695,153057,333065,153057,148,151773,General
日清オイリオグループ,2602,A,,安定的,NonSP,3015,100,33716257,1.01655E+11,12192,8061,1520,0,138894,391,4223,6340,14153,60389,149324,153259,292154,153259,0,145552,General
Jオイルミルズ,2613,A,-,安定的,NonSP,1849,100,33508446,61957116654,8186,4944,19,0,62033,117,2902,4270,3175,33988,89683,94475,156509,94475,0,94105,General
ゲオホールディングス,2681,BBB,+,ポジティブ,NonSP,1220,100,42405952,51735261440,2144,9999,1932,0,96755,230,1859,12428,5783,125223,75016,72982,169738,72982,410,72572,General
JALUX,2729,BBB,,安定的,J2,1667,100,12775000,21295925000,3611,987,325,0,27590,107,68,3825,425,12518,28046,24685,52276,24685,0,23465,General
エディオン,2730,A,,安定的,NonSP,1130,100,112005636,1.26566E+11,25273,10629,1350,0,192369,246,470,42964,5559,225638,180400,193841,386210,193841,0,193841,General
あらた,2733,A,-,安定的,NonSP,4260,100,18027640,76797746400,12164,4290,0,0,164437,174,3235,14071,4011,85708,82901,91017,255455,91017,0,91017,General
