No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年01月,13,東京,2488099,16997,146.38,529.567,3.618,232.84,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年01月,27,大阪,2134646,14999,142.32,621.124,4.364,238.08,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年02月,13,東京,2104374,13718,153.40,459.044,2.992,187.92,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年02月,27,大阪,1904722,13469,141.42,567.804,4.015,213.79,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年03月,13,東京,2593679,17771,145.95,515.740,3.534,243.44,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年03月,27,大阪,2416421,17377,139.06,661.654,4.758,275.83,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年04月,13,東京,2274507,15495,146.79,452.929,3.086,212.26,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年04月,27,大阪,2407186,17551,137.15,673.359,4.910,278.59,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年05月,13,東京,2201043,14981,146.92,426.330,2.902,205.22,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年05月,27,大阪,2574412,19148,134.45,692.201,5.148,303.94,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年06月,13,東京,1511813,9364,161.45,300.523,1.861,128.27,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年06月,27,大阪,1372826,8706,157.69,383.077,2.429,138.19,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年07月,13,東京,1997324,12433,160.65,377.122,2.348,170.32,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年07月,27,大阪,1618041,10371,156.02,430.892,2.762,164.62,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年08月,13,東京,2165139,12662,171.00,422.582,2.471,173.45,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年08月,27,大阪,2501575,16222,154.21,679.468,4.406,257.49,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年09月,13,東京,2752285,17820,154.45,541.701,3.507,244.11,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年09月,27,大阪,2262040,15361,147.26,630.754,4.283,243.83,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年10月,13,東京,2011130,11853,169.67,379.720,2.238,162.37,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年10月,27,大阪,1643600,10424,157.67,439.721,2.789,165.46,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年11月,13,東京,2299980,14388,159.85,460.666,2.882,197.10,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年11月,27,大阪,2018420,13566,148.79,575.606,3.869,215.33,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年12月,13,東京,2711119,16771,161.66,493.551,3.053,229.74,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年12月,27,大阪,2231238,14781,150.95,584.623,3.873,234.62,100.00%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年01月,13,東京,954473,9433,101.18,319.348,3.156,205.07,63.01%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年01月,27,大阪,2790528,29325,95.16,856.452,9.000,533.18,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年02月,13,東京,1790540,17978,99.60,613.609,6.161,390.83,63.01%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年02月,27,大阪,2520215,27405,91.96,793.480,8.628,498.27,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年03月,13,東京,975139,9608,101.49,313.340,3.087,218.36,60.27%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年03月,27,大阪,2372789,25172,94.26,686.110,7.279,457.67,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年04月,13,東京,1166314,11590,100.63,374.337,3.720,263.41,60.27%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年04月,27,大阪,2296247,24080,95.36,677.367,7.103,437.82,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年05月,13,東京,1661662,16695,99.53,525.666,5.281,388.26,58.90%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年05月,27,大阪,2876894,30343,94.81,815.225,8.598,551.69,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年06月,13,東京,1059190,10145,104.41,327.061,3.133,215.85,64.38%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年06月,27,大阪,1825017,18075,100.97,536.530,5.314,328.64,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年07月,13,東京,1029838,9828,104.79,314.724,3.003,223.36,60.27%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年07月,27,大阪,2748943,27843,98.73,770.602,7.805,506.24,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年08月,13,東京,938272,8509,110.27,292.417,2.652,189.09,61.64%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年08月,27,大阪,2402382,23419,102.58,687.951,6.706,425.80,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年09月,13,東京,816957,7291,112.05,246.277,2.198,155.13,64.38%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年09月,27,大阪,2065777,20145,102.55,606.670,5.916,366.27,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年10月,13,東京,858152,7716,111.22,290.769,2.614,188.20,56.16%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年10月,27,大阪,2409083,24110,99.92,678.376,6.789,438.36,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年11月,13,東京,856536,7964,107.55,295.859,2.751,189.62,57.53%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年11月,27,大阪,2260257,22799,99.14,678.726,6.846,414.53,87.30%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年12月,13,東京,1612525,15886,101.51,524.790,5.170,397.15,54.79%
2,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年12月,27,大阪,2402783,24274,98.99,666.255,6.731,441.35,87.30%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年01月,13,東京,2047953,14038,145.89,435.886,2.988,192.30,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年01月,27,大阪,1341176,9446,141.98,394.537,2.779,154.85,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年02月,13,東京,1768917,11524,153.50,385.868,2.514,157.86,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年02月,27,大阪,1233831,8743,141.12,380.051,2.693,145.72,95.24%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年03月,13,東京,2105458,14417,146.04,418.660,2.867,197.49,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年03月,27,大阪,1574314,11365,138.52,436.101,3.148,186.31,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年04月,13,東京,1890560,12900,146.56,376.473,2.569,176.71,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年04月,27,大阪,1592362,11574,137.58,450.426,3.274,189.74,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年05月,13,東京,1809906,12313,146.99,350.569,2.385,168.67,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年05月,27,大阪,1673283,12421,134.71,454.966,3.377,203.62,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年06月,13,東京,1293961,8134,159.08,257.218,1.617,111.42,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年06月,27,大阪,845303,5360,157.71,238.509,1.512,87.87,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年07月,13,東京,1809815,11228,161.19,341.718,2.120,153.81,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年07月,27,大阪,1183157,7622,155.23,318.486,2.052,124.95,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年08月,13,東京,1975497,11510,171.63,385.568,2.246,157.67,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年08月,27,大阪,1690691,10942,154.51,464.406,3.006,179.38,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年09月,13,東京,2431222,15744,154.42,478.510,3.099,215.67,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年09月,27,大阪,1510440,10271,147.06,425.764,2.895,168.38,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年10月,13,東京,1697789,10009,169.63,320.559,1.890,137.11,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年10月,27,大阪,1103346,7032,156.90,298.381,1.902,115.28,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年11月,13,東京,1907338,11841,161.08,382.023,2.372,162.21,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年11月,27,大阪,1315453,8794,149.59,379.295,2.536,144.16,96.83%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年12月,13,東京,2111397,13046,161.84,384.373,2.375,178.71,100.00%
3,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年12月,27,大阪,1405894,9380,149.88,375.956,2.508,156.33,95.24%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年01月,13,東京,899993,8866,101.51,301.120,2.966,192.74,63.01%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年01月,27,大阪,2105116,22066,95.40,646.089,6.772,401.20,87.30%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年02月,13,東京,1694292,17037,99.45,580.626,5.838,370.37,63.01%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年02月,27,大阪,1901677,20645,92.11,598.736,6.500,375.36,87.30%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年03月,13,東京,878761,8632,101.80,277.119,2.722,191.82,61.64%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年03月,27,大阪,1790300,18969,94.38,517.679,5.485,344.89,87.30%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年04月,13,東京,1076412,10694,100.66,349.521,3.472,248.70,58.90%
