"Year","YClass","weight","members","workers","age","TC","Cereal","Food","Housing","Utility","Furniture","Cloths","HealthInsurance","TransportCom","Education","Culture","Oth"
1987,200,16,2.56,1.19,58.3,1211122,69033,478696,64415,109048,50682,86541,36535,103578,10333,79379,191914
1987,225,97,2.7,0.87,56.1,1414842,85008,530687,114082,132935,60425,68916,39989,104815,39521,108262,215211
1987,275,201,2.8,1.1,55.8,1672032,92469,609614,118245,141944,69350,81248,69817,130525,36301,147831,267157
1987,325,454,2.93,1.12,54.2,2108918,98057,693462,157122,155615,90435,123275,77174,205891,41980,179453,384512
1987,375,560,3.17,1.2,49.2,2239609,99013,722664,173452,160194,97352,141009,81098,189893,55224,194857,423866
1987,425,665,3.36,1.33,46.3,2463116,103952,782377,172633,168905,110977,147272,91547,226062,71899,203414,488029
1987,475,712,3.48,1.42,45.3,2773647,107282,848691,212490,176888,122557,177650,85990,289357,85526,250793,523706
1987,525,689,3.67,1.5,44,2844451,110881,873092,168565,184341,122135,188941,86096,271569,113831,243475,592406
1987,575,639,3.73,1.61,44.7,3017585,117749,921894,168758,187225,122595,217963,86962,288832,117753,267795,637808
1987,625,593,3.92,1.65,44.6,3316522,121052,971528,170017,193961,150675,229272,85614,350522,151234,302380,711319
1987,675,518,3.82,1.74,46.5,3414388,120019,983818,159192,195164,150613,254629,83077,338497,146515,322579,780304
1987,725,465,3.91,1.78,47.5,3623814,124273,1031402,141190,202955,171847,269831,88716,326965,182935,322231,885743
1987,775,381,3.91,1.78,47.7,3779086,131323,1063053,138143,202036,158714,281491,78568,389070,185352,371358,911300
1987,850,330,3.86,1.78,48.8,4061905,129963,1092618,167291,219153,173446,294988,96007,382511,185727,374418,1075746
1987,950,279,3.96,1.86,48.9,4292345,131146,1102311,194000,215639,199766,353782,88887,377666,237033,391412,1131850
1987,1125,438,4.04,1.99,50.3,4526296,136564,1178299,150331,237760,205711,355813,103164,404930,278089,433980,1178219
1987,1375,277,4,1.96,51.1,4704906,127975,1150236,133217,233601,242181,409852,100382,419140,235221,441053,1340022
1987,1500,679,4.09,2.14,52.6,5657082,133010,1319828,195254,277079,267056,568747,115910,504955,280784,600164,1527305
1988,200,16,2.16,0.37,67.3,1333031,62546,388318,182563,92408,76287,42650,213690,94024,678,66175,176239
1988,225,84,2.34,0.9,58.7,1413239,75083,509331,134315,114208,54091,73600,43998,124466,16804,104437,237989
1988,275,167,2.54,0.92,55.9,1568325,79328,581308,129991,133450,57222,102119,53737,112612,20602,117241,260044
1988,325,432,2.97,1.08,53.4,2054142,89822,687240,168218,152331,87420,116319,74696,180600,45631,176375,365314
1988,375,508,3.11,1.18,50.4,2331051,93891,733138,157613,162355,112988,143734,97576,222202,59350,209275,432820
1988,425,607,3.32,1.32,47.2,2499713,93461,780413,188208,164386,116523,155663,88618,215553,65442,218952,505954
1988,475,682,3.44,1.43,45.2,2719931,100596,837086,189673,176864,116611,180019,84963,257223,82749,255571,539173
1988,525,651,3.64,1.48,45.5,2962601,104807,887692,198326,184178,136238,206399,84906,301835,118311,262874,581842
1988,575,637,3.7,1.62,45.1,3096984,111040,921431,184456,183779,125317,216679,86839,276276,124574,299195,678437
1988,625,615,3.79,1.61,46.3,3292089,111948,965219,159888,191954,140377,229522,92747,324931,142583,314887,729982
1988,675,498,3.84,1.71,46.4,3501192,120537,997110,165846,193458,155248,251348,95364,345588,165597,340777,790857
1988,725,486,3.84,1.75,46.8,3752227,123977,1048446,165786,206605,164766,287906,90029,376923,187367,350597,873802
1988,775,410,3.95,1.81,47.8,3929760,123353,1066690,151744,206861,160020,274368,97063,423421,196473,392942,960178
1988,850,334,3.8,1.82,49.4,4013749,121049,1063874,154088,212513,170180,313100,102102,378869,216446,383700,1018876
1988,950,284,3.93,1.86,49.4,4292795,121565,1103623,156341,217388,197683,354011,88444,406429,228833,417265,1122777
1988,1125,472,3.95,1.92,49,4583390,129823,1149626,148028,225015,185263,375950,104061,461257,228531,458690,1246970
1988,1375,331,3.86,1.96,49.7,4724963,129177,1196693,185817,227444,211075,378059,113241,411613,251849,447614,1301559
1988,1500,770,3.97,2.08,52.1,5765600,123871,1309156,192242,267585,244733,563782,137713,533354,297756,620601,1598677
1989,200,22,2.07,0.44,67,838706,57613,365611,80313,89743,23758,32642,21319,58109,6328,54945,105938
1989,225,76,2.31,0.84,60,1357241,72884,485984,123585,120600,49934,58584,65631,92721,43363,90740,226100
1989,275,160,2.49,0.85,58.6,1580097,80473,555980,108490,128100,81453,93165,64030,134737,25714,134514,253913
1989,325,370,2.85,1.04,54.4,2042867,90078,707692,153940,152377,85053,123207,74541,161175,50922,171658,362301
1989,375,475,2.98,1.05,52.6,2270647,93261,737413,179269,157845,97560,130821,89582,213891,46648,208288,409328
1989,425,568,3.2,1.32,48.6,2549437,95604,781063,206644,164071,112643,158916,99876,230203,66817,242879,486325
1989,475,653,3.45,1.4,46.5,2776533,102395,852052,193912,172956,112827,179423,89820,262281,88173,270054,555036
1989,525,641,3.52,1.5,45.8,2944708,101290,877426,190334,179873,115564,194175,99952,282323,102910,277913,624237
1989,575,639,3.66,1.57,45.1,3195817,107104,917896,183814,182471,142192,218979,92578,331106,120076,313333,693372
1989,625,607,3.73,1.6,45.3,3333907,114423,972229,191401,188778,135423,237035,91725,312414,156832,325783,722288
1989,675,549,3.85,1.67,46.2,3566448,116139,1002606,175700,195070,155216,256359,103623,367332,164358,360604,785580
1989,725,484,3.87,1.67,46.7,3694781,120553,1043737,145045,200866,169964,296248,101709,326016,199318,360390,851489
1989,775,426,3.84,1.69,47.3,3959467,125100,1084336,142401,205184,177889,300098,96527,371987,195173,390240,995634
1989,850,368,3.92,1.8,47.7,4205292,121537,1106754,170558,214425,176477,328634,100870,473109,215606,406042,1012816
1989,950,306,3.81,1.79,47.9,4609506,124768,1113559,158968,206192,205409,347570,99707,458908,210907,445694,1362590
1989,1125,460,3.91,1.96,49.6,4502140,126438,1155179,164363,227895,183017,362010,102968,453251,279894,435269,1138294
1989,1375,340,3.83,2.03,49.8,4914357,131409,1209591,176648,222296,210914,424245,118424,461243,248137,471191,1371667
1989,1500,832,3.98,2.09,52.1,5661884,129968,1326232,194132,260268,248842,549764,129520,508665,310094,594631,1539735
1990,200,24,2.19,0.58,64.5,1212066,76277,479599,100951,118406,39266,51711,55038,79168,19930,80765,187232
1990,225,81,2.34,0.69,63.9,1455957,79516,555399,102338,134608,60833,64650,60175,106751,26512,118958,225735
1990,275,159,2.46,0.89,59.6,1710890,85974,604233,127844,137438,82836,89862,63080,124009,39929,133653,308007
1990,325,305,2.74,0.99,56.3,2106069,91154,706732,156240,161119,79866,120904,82543,195045,38788,182359,382472
1990,375,462,2.89,1.03,55.8,2360383,92141,769127,164346,169005,103210,146611,92578,211401,48440,227414,428250
1990,425,532,3.07,1.21,51.4,2536035,94010,803567,170164,171267,109819,162320,90895,236908,63006,235566,492524
1990,475,580,3.26,1.35,47.5,2802533,97765,858239,209101,174449,129500,187349,103252,269845,64932,261822,544044
1990,525,603,3.49,1.37,45.4,2978103,100799,905374,202362,185194,128840,193286,95563,320172,102855,273993,570463
1990,575,598,3.53,1.5,45.7,3198591,105084,943905,189131,186497,141285,212105,103368,298917,136443,317197,669743
1990,625,584,3.63,1.6,46.3,3298315,108940,987184,186811,195403,141453,225377,94127,291910,139558,322086,714406
1990,675,523,3.76,1.68,46.7,3698917,114126,1039146,195667,203308,158395,262654,105607,373656,164637,375790,820058
1990,725,498,3.76,1.71,47,3838349,119040,1080286,157361,209107,155664,288437,101931,415593,202157,380278,847534
1990,775,446,3.77,1.7,47.8,3994516,123144,1093838,153066,213024,171436,310543,104278,393858,211000,405366,938107
1990,850,387,3.81,1.75,47.9,4096108,117114,1129227,165214,213805,173012,317031,106281,391820,202423,397223,1000072
1990,950,304,3.89,1.82,48.5,4378123,128318,1160161,183772,227023,166117,343331,113410,402234,289690,446883,1045502
1990,1125,523,3.84,1.88,49.6,4639626,125657,1194024,148432,235209,202595,365662,119593,446951,245940,483924,1197297
1990,1375,382,3.92,1.94,50.4,4831016,126364,1234471,142946,234855,191141,422786,124354,456129,279313,482908,1262113
1990,1500,987,3.97,2.13,52.4,5852458,131389,1362509,204879,270836,254396,574816,148575,523849,335634,630748,1546216
1991,200,226,2.43,0.81,61,1701176,82883,616719,134404,147201,89486,90505,57049,119384,21763,135708,288959
1991,225,258,2.74,1.02,56.5,2191940,93364,753241,152661,168233,95403,134792,79116,176112,53443,192503,386436
1991,275,379,2.82,1.01,56.2,2388067,90056,763576,242345,168566,101201,135151,82135,200577,44230,209438,440846
1991,325,505,3.03,1.16,52,2651919,94338,833131,199609,185510,109582,155071,121043,270209,59599,236580,481586
1991,375,505,3.15,1.34,48.9,2899419,98692,871354,219590,182145,123245,195714,101180,266347,79660,292672,567512
1991,425,573,3.37,1.4,47.1,3028073,99741,902588,213920,193766,139017,195476,99212,287478,82022,282770,631824
1991,475,577,3.55,1.55,46.5,3231893,106367,966304,218118,197899,131548,221112,104581,288777,120444,319889,663222
1991,525,553,3.6,1.56,46.1,3384170,109724,1002584,199343,196924,139081,242328,107459,349294,116507,323350,707300
1991,575,513,3.63,1.56,47.1,3710980,115428,1050756,203195,208779,155405,251802,104238,375025,146731,365025,850024
1991,625,492,3.68,1.67,47.6,3749293,119511,1088416,210011,212808,163698,267805,107503,339750,182625,384898,791780
1991,675,428,3.81,1.72,47.1,4108163,122469,1154690,187063,220638,185375,306452,105189,387769,208696,399676,952616
1991,725,410,3.87,1.77,47.2,4104999,123064,1143183,162450,226481,162801,314386,108312,393647,203435,422018,968286
1991,775,337,3.83,1.83,49,4477297,124770,1170317,194475,227010,200875,330435,108984,449890,234734,438412,1122167
1991,850,614,3.86,1.89,49.1,4704466,125989,1222676,199186,237208,211559,377722,109408,445637,247025,492053,1161992
1991,950,409,3.89,1.96,50.1,5006578,129049,1260466,193186,243438,239263,401020,116518,465929,296919,499413,1290427
1991,1125,624,3.92,2.1,51.7,5341477,130121,1326679,170687,258718,220212,457456,124877,515061,289961,546506,1431319
1991,1375,285,4.05,2.2,51.7,5996007,137978,1428291,195066,270724,291494,567831,144638,511184,295132,599381,1692266
1991,1500,290,3.97,2.29,55.1,7291330,129901,1607618,297364,317283,341833,817712,171302,621462,320185,839949,1956622
1992,200,206,2.44,0.97,61.2,1630509,79720,589499,152778,154941,74105,85461,67160,119217,17407,126163,243778
1992,225,226,2.83,1.05,55.7,2155197,90655,733781,166740,171302,87676,132992,75834,180908,52518,188241,365205
1992,275,362,2.7,0.92,58.4,2279737,94398,749804,176625,170818,92848,127194,85966,178611,48631,221062,428178
1992,325,453,2.94,1.04,55.2,2685719,101403,849879,192187,190553,102090,163849,105858,214913,49571,250401,566418
1992,375,502,3.05,1.24,50.4,2852979,98152,883440,231727,187165,112810,185052,97867,266806,71180,274640,542290
1992,425,509,3.34,1.38,48.4,3054350,102976,913630,242292,197023,120799,198746,111403,283047,84295,294133,608983
1992,475,537,3.43,1.46,46.6,3242023,106591,949409,229712,200441,142139,218693,108485,310215,112557,326720,643652
1992,525,560,3.54,1.49,47.1,3347943,107417,986038,237659,204309,144292,235932,115413,308884,119195,334898,661323
1992,575,488,3.57,1.55,46.5,3516151,110325,1038020,207721,209933,138036,236166,101791,331701,140785,378587,733411
1992,625,531,3.65,1.59,47.1,3838443,119478,1091727,207683,215105,149673,266073,117739,358738,159052,414120,858535
1992,675,442,3.73,1.68,47,3992014,118847,1105314,235979,224390,164057,291870,104440,386806,214720,403642,860794
1992,725,448,3.78,1.76,47.4,4128682,129721,1131098,220412,228292,170250,288606,103884,371220,256576,426824,931519
1992,775,349,3.83,1.88,47.8,4446037,126807,1171892,237338,234246,187837,310406,110246,480321,201922,457340,1054491
1992,850,585,3.82,1.86,49.3,4736816,128225,1213678,207895,243481,207107,359812,101178,457693,285362,490713,1169899
1992,950,425,3.77,1.96,49.8,4949764,126024,1231885,196698,244392,190304,384000,120154,464840,292981,508147,1316363
1992,1125,695,3.87,2.06,51.1,5494203,132582,1316009,212706,261220,225039,418873,132171,561041,336658,551895,1478591
1992,1375,318,3.89,2.16,52.7,5958485,133748,1408349,266755,272219,261651,550496,144062,503518,330897,595936,1624601
1992,1500,326,3.94,2.22,54.7,7020015,127683,1521839,255450,316113,353313,695043,178660,620203,303152,807209,1969031
1993,200,178,2.41,0.76,62.2,1628849,88541,585252,164916,153035,61227,71373,59147,121636,27255,125658,259349
1993,225,225,2.71,1.01,58.3,2145255,98496,749278,171408,178887,78346,111358,89669,174242,47380,196095,348591
1993,275,331,2.69,0.91,59,2522207,100979,778201,176961,180522,112830,130636,90615,228348,42896,244234,536964
1993,325,435,2.76,0.93,57,2740806,104029,850549,182577,193736,108962,152393,110386,224646,58788,296494,562275
1993,375,455,2.95,1.17,52.5,2811119,102057,855863,242067,194287,119368,169466,109768,277849,62072,271287,509093
1993,425,497,3.23,1.35,49.3,3010520,107171,887048,228351,202101,122131,181590,113369,283738,80159,305622,606411
1993,475,512,3.36,1.4,47.5,3173370,110437,928003,282481,204304,142403,201041,117961,298594,98147,291148,609287
1993,525,571,3.48,1.51,45.8,3331151,109024,950933,234283,210190,129836,213332,109588,346996,133822,340418,661754
1993,575,485,3.49,1.55,46.9,3578867,112024,998391,244059,211942,145716,225888,117116,365504,115984,381495,772774
1993,625,486,3.64,1.59,46.5,3732288,122748,1049692,205705,216955,138733,254401,116290,368709,178306,382787,820710
1993,675,429,3.67,1.62,46.4,3978742,117113,1072846,243754,226871,163463,266841,109738,432561,209705,392080,860882
1993,725,420,3.73,1.71,47.4,4172701,124522,1125051,240811,229527,153953,276223,113882,408430,218743,475209,930874
1993,775,347,3.75,1.78,48.2,4302035,130163,1163866,194072,236306,166430,308001,135285,469574,222770,458324,947407
1993,850,631,3.72,1.86,49.7,4676885,129596,1183372,210840,243733,172865,331932,116998,495684,262192,480014,1179255
1993,950,470,3.83,1.92,49.7,4880406,134764,1211305,203139,252697,181513,350761,116286,487018,265680,512367,1299639
1993,1125,749,3.82,2.02,51,5407438,135712,1276669,240038,265548,223658,404423,139419,575642,301912,542244,1437885
1993,1375,363,3.98,2.21,52.5,6070776,141639,1401511,244958,285882,223523,506812,151081,602747,311866,637468,1704928
1993,1500,380,3.97,2.24,54.2,6838778,143411,1545324,237964,330641,317406,677507,172680,577712,357023,821868,1800652
1994,200,163,2.33,0.76,61.8,1766263,87568,608141,178524,159767,66676,83508,73250,136506,49501,142966,267425
1994,225,205,2.7,0.93,58.6,2173338,95678,711319,217597,176497,88070,107044,110546,192495,39210,176728,353834
1994,275,306,2.61,0.86,58.9,2350161,99330,761911,213326,171880,98372,128415,99164,176204,44234,201542,455115
1994,325,408,2.77,0.95,56.3,2732291,99998,812598,258893,195634,115175,142730,108015,269806,43313,247830,538297
1994,375,453,3.03,1.14,51.8,2837270,105908,849783,227584,199520,124963,165055,126082,258382,70060,279206,536635
1994,425,512,3.16,1.27,49.7,3005150,99492,883686,241070,207709,121470,175565,107416,292707,80412,312556,582558
1994,475,530,3.3,1.39,47.7,3201871,103167,905827,288855,213819,140340,186376,116020,319446,106339,316812,608037
1994,525,563,3.42,1.45,46,3354251,106869,945413,286661,214032,161497,204900,103123,321771,119352,335693,661809
1994,575,490,3.47,1.56,46.5,3487716,111109,968267,271538,218481,145924,212610,111390,373337,140964,345460,699744
1994,625,509,3.59,1.57,46.3,3658216,116088,1035659,256886,232137,143486,227023,118866,366024,166755,383345,728034
1994,675,421,3.71,1.6,46.1,3921599,125032,1089522,249057,230996,159020,245088,109609,417979,213191,403495,803642
1994,725,417,3.65,1.7,47.1,4132022,124785,1115422,286077,237009,160907,256807,110036,420316,177136,425031,943282
1994,775,349,3.69,1.81,47.9,4166513,125075,1115661,242856,244726,158281,273826,108886,456888,227524,419058,918808
1994,850,612,3.74,1.76,49.2,4651097,128953,1163567,229905,246598,190802,311165,124814,491623,284962,473868,1133793
1994,950,516,3.78,1.92,49.2,4820743,131840,1197750,199602,262761,183050,336240,127160,470235,323437,485531,1234976
1994,1125,752,3.86,2.04,51,5250133,132785,1274241,227929,269421,196096,382745,133106,520805,302518,537060,1406211
1994,1375,360,3.84,2.21,52,5901296,138086,1360064,255525,293907,256593,476043,126271,523300,308723,708596,1592274
1994,1500,395,3.79,2.23,53.9,6811969,136576,1484840,234006,317776,319201,632685,156201,623965,351529,777845,1913923
1995,200,189,2.42,0.82,61.3,1749943,74376,593155,179283,168375,72978,89214,68044,142897,35843,135758,264394
1995,225,210,2.72,1.06,57.4,2158719,86906,718398,182905,186236,91647,103607,92397,182638,63568,187297,350027
1995,275,299,2.64,0.9,59.6,2388373,88241,755203,191642,187491,105535,115642,113267,208886,45741,200931,464037
1995,325,430,2.73,0.83,58.3,2622580,90079,780969,214844,193499,114487,141682,110645,226975,59261,249582,530637
1995,375,458,2.87,1.11,54.2,2866443,87497,812633,270748,198730,117812,142365,116550,289497,65954,268234,583920
1995,425,498,3.07,1.27,50.5,3021270,93691,847564,284568,211005,123485,171491,103417,318795,73275,292140,595529
1995,475,529,3.2,1.35,48.6,3194083,96996,889119,267254,214768,132538,193677,112428,335927,98659,299953,649759
1995,525,502,3.27,1.44,47.8,3314289,97091,912666,299294,218390,130782,195200,121242,353883,106461,309773,666598
1995,575,475,3.48,1.58,47.2,3517460,101040,959865,246000,225009,135796,210304,121140,371520,151079,354868,741879
1995,625,489,3.59,1.59,47.2,3724927,103328,994448,272889,233657,149234,227188,121317,432244,169329,373295,751325
1995,675,427,3.59,1.66,48.1,3888886,104833,1023554,332619,234782,135130,226050,112094,404687,170385,408675,840910
1995,725,439,3.57,1.69,48.2,4169620,108147,1054384,311884,240514,179687,268963,110342,434011,224428,424913,920492
1995,775,362,3.62,1.69,47.5,4330101,112117,1112006,241041,245549,180535,284715,112556,470245,272454,401261,1009738
1995,850,610,3.74,1.78,49.4,4374997,114163,1124489,230351,251834,171485,278327,122110,438940,265697,444011,1047753
1995,950,507,3.73,1.91,50.1,4746940,120886,1181385,200883,265245,200219,302426,117291,476967,270824,491944,1239755
1995,1125,785,3.84,2.05,51.4,5114049,123201,1233560,244697,281951,203031,370688,129568,497001,323070,509307,1321177
1995,1375,334,3.92,2.18,52.6,5667080,127450,1325648,277789,298253,216750,419211,141679,600310,319281,568919,1499239
1995,1500,379,3.87,2.27,54.9,6770572,120813,1473059,276484,332551,320624,629254,176926,588552,302379,761778,1908965
1996,200,200,2.34,0.86,62.7,1756457,74178,623092,123502,190309,71426,86521,61058,138367,28415,141123,292645
1996,225,196,2.56,0.87,60.2,2219515,84547,694644,218958,190547,90437,95948,86237,208273,38921,182093,413457
1996,275,309,2.65,0.89,58.8,2319133,88676,724654,203325,190470,95557,111879,101952,208817,35991,195010,451477
1996,325,436,2.59,0.87,59,2609586,84495,786325,258444,202966,100921,139284,110255,223214,56285,235813,496079
1996,375,483,2.87,1.02,55.1,2871850,88219,855105,246857,212092,125323,151647,126730,261770,57781,282659,551886
1996,425,505,3.04,1.21,51,2957209,90064,838304,280149,213818,130427,167317,108215,312918,98262,264611,543187
1996,475,485,3.13,1.29,48.3,3179023,91733,849845,307534,210304,138874,172081,126008,373745,87398,312133,601101
1996,525,511,3.28,1.4,48.2,3317209,91683,906592,271296,219231,123779,175424,110764,462288,111975,316310,619550
1996,575,497,3.31,1.48,48,3435113,96930,926706,288423,219681,134150,198095,126286,369059,130019,352652,690040
1996,625,456,3.54,1.56,47.2,3675463,99556,987284,299985,242176,133308,218112,111090,415873,148320,373637,745680
1996,675,451,3.39,1.56,48.8,3828709,101570,1006388,293944,236371,151525,218003,128722,437898,147219,385903,822737
