No, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8
No, 出席, 予習・復習, 難易度, 分量, 興味, 教員の熱意, 説明の仕方, 総合
1, 1, 3, 4, 3, 4, 2, 3, 3
2, 1, 4, 5, 3, 2, 1, 1, 2
3, 1, 4, 3, 3, 3, 3, 3, 3
4, 1, 3, 5, 5, 5, 1, 1, 2
5, 1, 4, 5, 4, 4, 1, 2, 1
6, 1, 3, 4, 4, 2, 3, 4, 2
7, 1, 2, 4, 3, , , 4, 1
8, 1, 3, 3, 3, 1, 1, 1, 1
9, 1, 4, 4, 4, 4, 3, 4, 3
10, 1, 4, 4, 4, 2, 2, 2, 2
11, 1, 4, 3, 3, 1, 1, 1, 1
12, 1, 2, 4, 3, 2, 1, 2, 2
13, 1, 4, 4, 4, 3, 2, 2, 2
14, 1, 4, 3, 3, 3, 1, 3, 3
15, 1, 4, 5, 5, 1, 1, 1, 1
16, 2, 3, 4, 4, 3, 4, 3, 3
17, 1, 4, 4, 4, 2, 3, 2, 2
18, 1, 4, 4, 3, 3, 2, 4, 2
19, 1, 4, 5, 4, 3, 2, 3, 3
20, 1, 4, 4, 4, 3, 3, 2, 2
21, 1, 3, 4, 3, 3, 4, 4, 3
22, 1, 4, 5, 3, 3, 1, 2, 1
23, 1, 4, 5, 5, 5, 2, 4, 3
24, 1, 4, 4, 4, 4, 1, 2, 3
25, 1, 4, 5, 4, 3, 2, 2, 2
26, 1, 4, 5, 5, 5, 1, 3, 2
27, 1, 4, 4, 3, 4, 1, 1, 1
28, 1, 4, 4, 3, 5, 1, 3, 2
29, 1, 3, 5, 4, 4, 3, 3, 3
30, 1, 4, 4, 4, 3, 2, 4, 3
31, 1, 4, 5, 4, 4, 2, 5, 2
32, 1, 3, 5, 4, 3, 3, 3, 3
33, 1, 2, 4, 3, 3, 3, 5, 3
34, 1, 4, 4, 3, 3, 1, 1, 2
35, 1, 4, 5, 4, 2, 2, 2, 2
36, 2, 4, 5, 5, 4, 1, , 1
37, 1, 4, 5, 4, 3, 1, 2, 2
38, 1, 3, 4, 3, 3, 2, 2, 2
39, 1, 3, 4, 4, 4, 2, 3, 3
40, 1, 4, 4, 4, 3, 1, 2, 2
41, 1, 4, 4, 4, 4, 1, 1, 1
42, 1, 2, 5, 4, 3, 2, 2, 2
43, 1, 4, 5, 4, 3, 1, 3, 2
44, 1, 4, 4, 3, 4, 2, 2, 1
45, 1, 4, 4, 3, 3, 2, 2, 3
46, 1, 1, 4, 1, 1, 1, 1, 1
47, 1, 2, 4, 4, 2, 1, 1, 1
48, 1, 1, 3, 3, 1, 1, 1, 1
49, 1, 4, 4, 3, 2, 1, 1, 1
50, 1, 4, 5, 4, 5, 3, 3, 3
51, 1, 4, 5, 4, 4, 3, 5, 4
52, 1, 4, 3, 3, 2, 2, 1, 1
53, 2, 3, 3, 3, 1, 1, 1, 1
54, 1, 4, 5, 3, 3, 1, 3, 2
55, 1, 4, 5, 4, 3, 2, 3, 2
56, 1, 4, 5, 4, 2, 1, 2, 1
57, 2, 4, 4, 4, 4, 1, 2, 2
58, 1, 4, 3, 4, 3, 2, 2, 2
59, 1, 4, 5, 5, 3, 5, 4, 5
60, 1, 4, 4, 4, 5, 5, 5, 5
61, 1, 1, 4, 5, 5, 1, 4, 2
62, 1, 2, 4, 3, 3, 1, 2, 1
63, 1, 4, 4, 3, 3, 3, 4, 4
64, 1, 4, 3, 3, 2, 3, 2, 2
65, 1, 4, 5, 5, 4, 3, , 
66, 1, 4, 5, 4, 3, 1, 2, 3
67, 1, 3, 3, 3, 3, 3, 2, 1
68, 1, 4, 4, 4, 4, 3, 3, 2
69, 1, 3, 4, 4, 2, 1, 3, 2
70, 2, 4, 5, 3, 3, 2, 2, 3
71, 1, 4, 4, 4, 4, 3, 4, 3
